Designator,Footprint,Quantity,Value,LCSC Part #
"0, 1, 10, 11, 2, 3, 4, 5, 6, 7, 8, 9",PinHeader_1x03_P2.54mm_Vertical,12,Conn_01x03_Pin,
"C1, C10, C11, C2, C3, C4, C5, C7",0603,8,100nF,
"C12, C13, C22, C23",0603,4,22uF,
C14,CP_Radial_D8.0mm_P3.50mm,1,2200uF,
"C15, C16",0603,2,10pF,
"C17, C18, C20",0603,3,2.2uF,
C19,0603,1,0.1uF,
C21,0603,1,10nF,
C6,0603,1,10uF,
"C8, C9",0603,2,1uF,
D1,0402,1,LED,
"D2, D3",0402,2,RED,
"D4, D5",D_SOD-123,2,SS14,
FB1,0603,1,120R,
"J1, J3",PinHeader_1x04_P2.54mm_Vertical,2,Conn_01x04_Pin,
J13,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05_Pin,
J2,PinSocket_1x10_P2.54mm_Vertical,1,Conn_01x10_Socket,
J4,AMASS_XT60-M,1,XT60-M,
J5,PinSocket_1x13_P2.54mm_Vertical,1,Conn_01x13_Socket,
"R1, R12, R13, R14, R15, R16, R17, R18",0201,8,10k,
"R10, R11",0201,2,5.1k,
"R2, R3",0201,2,1K,
R9,0201,1,330,
SW1,SW_Push_SPST_NO_Alps_SKRK,1,SW_Push,
SW2,SW_SPDT_Shouhan_MSK12C02,1,SW_SPDT,
U1,LQFP-64_10x10mm_P0.5mm,1,STM32F405RGT6,
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,
U3,QFN-28-1EP_6x6mm_P0.65mm_EP4.25x4.25mm,1,PCA9685BS,
U4,SOT-223-3_TabPin2,1,AMS1117-5.0,
U5,PQFN50P300X250X97-14N,1,ICM-42688-P,
USB1,USB-C-SMD_TYPE-C-6PIN-2MD-073,1,TYPE-C 16PIN 2MD(073),C2765186
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16MHz,
